ID,Target_Form_ID,Source_Form_ID,Comment,Source
193-213_tocollectgathersomething,EAH-213_tocollectgathersomething-1,WOT-213_tocollectgathersomething-1,,wot
194-214_tohate,EAH-214_tohate-1,WOT-214_tohate-1,,wot
195-215_fruit,EAH-215_fruit-1,WOT-215_fruit-1,,wot
196-216_hawthornaplantsimilartothewhitethornorelder,EAH-216_hawthornaplantsimilartothewhitethornorelder-1,WOT-216_hawthornaplantsimilartothewhitethornorelder-1,,wot
197-217_akindoftreesimilartothemapleorcornelacertataricumcornussanguinea,EAH-217_akindoftreesimilartothemapleorcornelacertataricumcornussanguinea-1,WOT-217_akindoftreesimilartothemapleorcornelacertataricumcornussanguinea-1,,wot
198-218_ring,EAH-218_ring-1,WOT-218_ring-1,,wot
199-219_thimble,EAH-219_thimble-1,WOT-219_thimble-1,,wot
200-220_boatship,EAH-220_boatship-1,WOT-220_boatship-1,,wot
201-221_bell,EAH-221_bell-1,WOT-221_bell-1,,wot
202-222_hawk,EAH-222_hawk-1,WOT-222_hawk-1,,wot
203-223_sand,EAH-223_sand-1,WOT-223_sand-1,,wot
204-224_nooseloopsnare,EAH-224_nooseloopsnare-1,WOT-224_nooseloopsnare-1,,wot
205-225_timeweather,EAH-225_timeweather-1,WOT-225_timeweather-1,,wot
206-226_wordbiblicalwordverb,EAH-226_wordbiblicalwordverb-1,WOT-226_wordbiblicalwordverb-1,,wot
207-227_yesaffirmativeparticlevery,EAH-227_yesaffirmativeparticlevery-1,WOT-227_yesaffirmativeparticlevery-1,,wot
208-229_tobefrightenedtotakefright,EAH-229_tobefrightenedtotakefright-1,WOT-229_tobefrightenedtotakefright-1,,wot
209-229_tobefrightenedtotakefright,EAH-229_tobefrightenedtotakefright-2,WOT-229_tobefrightenedtotakefright-2,,wot
210-230_twin,EAH-230_twin-1,WOT-230_twin-1,,wot
211-231_properbehaviour,EAH-231_properbehaviour-1,WOT-231_properbehaviour-1,,wot
212-232_tosuitsomethingtobepropertofitinto,EAH-232_tosuitsomethingtobepropertofitinto-1,WOT-232_tosuitsomethingtobepropertofitinto-1,,wot
213-233_toadoreworship,EAH-233_toadoreworship-1,WOT-233_toadoreworship-1,,wot
214-234_shirt,EAH-234_shirt-1,WOT-234_shirt-1,,wot
215-235_towrite,EAH-235_towrite-1,WOT-235_towrite-1,,wot
216-236_buttermilk,EAH-236_buttermilk-1,WOT-236_buttermilk-1,,wot
217-237_toglowbehot,EAH-237_toglowbehot-1,WOT-237_toglowbehot-1,,wot
218-242_guidepilotconductorticketinspector,EAH-242_guidepilotconductorticketinspector-2,WOT-242_guidepilotconductorticketinspector-1,,wot
219-243_anethnicgroupofmuslimfaithinmediaevalhungary,EAH-243_anethnicgroupofmuslimfaithinmediaevalhungary-1,WOT-243_anethnicgroupofmuslimfaithinmediaevalhungary-1,,wot
220-246_awaterplantstratiotesaloides,EAH-246_awaterplantstratiotesaloides-1,WOT-246_awaterplantstratiotesaloides-1,,wot
221-246_awaterplantstratiotesaloides,EAH-246_awaterplantstratiotesaloides-2,WOT-246_awaterplantstratiotesaloides-2,,wot
222-246_awaterplantstratiotesaloides,EAH-246_awaterplantstratiotesaloides-3,WOT-246_awaterplantstratiotesaloides-3,,wot
223-253_measles,EAH-253_measles-1,WOT-253_measles-1,,wot
224-254_trapsnare,EAH-254_trapsnare-1,WOT-254_trapsnare-1,,wot
225-255_gate,EAH-255_gate-1,WOT-255_gate-1,,wot
226-256_arm,EAH-256_arm-1,WOT-256_arm-1,,wot
227-258_manofgritstoutfellow,EAH-258_manofgritstoutfellow-1,WOT-258_manofgritstoutfellow-1,,wot
228-259_sheepfoldcattlegridstockyardayardencircledbyafenceshedforanimals,EAH-259_sheepfoldcattlegridstockyardayardencircledbyafenceshedforanimals-1,WOT-259_sheepfoldcattlegridstockyardayardencircledbyafenceshedforanimals-1,,wot
229-261_pinkseveralkindsofpinkdanthusdcaryophyllusseveralmembersofthecaryophillace,EAH-261_pinkseveralkindsofpinkdanthusdcaryophyllusseveralmembersofthecaryophillace-1,WOT-261_pinkseveralkindsofpinkdanthusdcaryophyllusseveralmembersofthecaryophillace-1,,wot
230-261_pinkseveralkindsofpinkdanthusdcaryophyllusseveralmembersofthecaryophillace,EAH-261_pinkseveralkindsofpinkdanthusdcaryophyllusseveralmembersofthecaryophillace-2,WOT-261_pinkseveralkindsofpinkdanthusdcaryophyllusseveralmembersofthecaryophillace-2,,wot
231-262_stakepalestick,EAH-262_stakepalestick-1,WOT-262_stakepalestick-1,,wot
232-263_afishingwaterbirdwithblackfeatherscormorantphalacrocoraxcarbo,EAH-263_afishingwaterbirdwithblackfeatherscormorantphalacrocoraxcarbo-1,WOT-263_afishingwaterbirdwithblackfeatherscormorantphalacrocoraxcarbo-1,,wot
